,ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
557,CM,2020-02-29,15,3,0,0,12
558,CN,2020-02-29,6,6,0,0,0
559,CT,2020-02-29,27,19,0,0,8
560,EX,2020-02-29,4,3,1,0,0
561,GA,2020-02-29,1,1,0,0,0
562,IB,2020-02-29,2,2,0,0,0
563,MC,2020-02-29,3,2,1,0,0
564,MD,2020-02-29,108,107,1,0,0
565,ML,2020-02-29,0,0,0,0,0
566,NC,2020-02-29,5,4,1,0,0
567,PV,2020-02-29,25,25,0,0,0
568,RI,2020-02-29,13,13,0,0,0
569,VC,2020-02-29,17,14,3,0,0
570,AN,2020-03-01,34,25,9,0,0
571,AR,2020-03-01,8,8,0,0,0
572,AS,2020-03-01,2,2,0,0,0
573,CB,2020-03-01,1,1,0,0,0
574,CE,2020-03-01,0,0,0,0,0
575,CL,2020-03-01,32,28,4,0,0
576,CM,2020-03-01,66,15,0,3,48
577,CN,2020-03-01,7,7,0,0,0
578,CT,2020-03-01,87,76,0,1,10
579,EX,2020-03-01,5,3,2,0,0
580,GA,2020-03-01,7,5,2,0,0
581,IB,2020-03-01,4,4,0,0,0
582,MC,2020-03-01,5,4,1,0,0
583,MD,2020-03-01,324,324,0,0,0
584,ML,2020-03-01,0,0,0,0,0
585,NC,2020-03-01,13,8,5,0,0
586,PV,2020-03-01,47,47,0,0,0
587,RI,2020-03-01,22,22,0,0,0
588,VC,2020-03-01,44,34,9,0,1
589,AN,2020-03-02,33,31,2,0,0
590,AR,2020-03-02,14,14,0,0,0
591,AS,2020-03-02,3,3,0,0,0
592,CB,2020-03-02,0,0,0,0,0
593,CE,2020-03-02,0,0,0,0,0
594,CL,2020-03-02,44,37,7,0,0
595,CM,2020-03-02,62,18,0,5,39
596,CN,2020-03-02,12,12,0,0,0
597,CT,2020-03-02,82,61,0,1,20
598,EX,2020-03-02,7,6,1,0,0
599,GA,2020-03-02,19,19,0,0,0
600,IB,2020-03-02,6,6,0,0,0
601,MC,2020-03-02,8,6,2,0,0
602,MD,2020-03-02,383,383,0,0,0
603,ML,2020-03-02,0,0,0,0,0
604,NC,2020-03-02,15,11,4,0,0
605,PV,2020-03-02,56,54,0,0,2
606,RI,2020-03-02,30,29,1,0,0
607,VC,2020-03-02,46,36,9,0,1
